ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
170627,XAGE5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170679,PSORS1C1,1,0,0,0,0,1,1,0,0,0.0321,0,0,0,0,0,0,0,0,0,0,0
170680,PSORS1C2,1,0,0,0,0,1,0,0,0,0.0144,0,0,0.0144,0,0,0,0,0,0,0,0
170685,NUDT10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170689,ADAMTS15,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170690,ADAMTS16,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170691,ADAMTS17,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170692,ADAMTS18,1,1,1,1,0,1,1,1,0,0,0,0,0.0296,0,0,0,0,0,0,0,0
170712,COX7B2,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170825,GSX2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170850,KCNG3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170954,PPP1R18,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170959,ZNF431,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170960,ZNF721,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170961,ANKRD24,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171017,ZNF384,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171019,ADAMTS19,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171023,ASXL1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
171024,SYNPO2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
