ID,ENSEMBL_GENE_ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
5982,ENSG00000049541,RFC2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5983,ENSG00000133119,RFC3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5984,ENSG00000163918,RFC4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5985,ENSG00000111445,RFC5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5986,ENSG00000169733,RFNG,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5987,ENSG00000204713,TRIM27,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5988,ENSG00000128250,RFPL1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5989,ENSG00000132005,RFX1,0,1,1,0,0,1,1,0,0,0.0217,0,0,0,0,0.0148,0,0,0,0,0,0
5990,ENSG00000087903,RFX2,1,1,1,0,0,1,1,0,0,0.0088,0,0,0,0,0,0,0,0,0,0,0
5991,ENSG00000080298,RFX3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5992,ENSG00000111783,RFX4,2,1,2,1,0,1,1,0,0,0.0068,0,0,0,0,0.0212,0,0,0,0,0,0
5993,ENSG00000143390,RFX5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5994,ENSG00000133111,RFXAP,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5995,ENSG00000148604,RGR,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5996,ENSG00000090104,RGS1,1,1,1,0,0,1,1,0,0,0,0,0,0.0152,0,0,0,0,0,0,0,0
5997,ENSG00000116741,RGS2,2,1,1,0,1,1,1,0,0,0.0580555555555556,0,0,0.0418444444444444,0,0,0,0,0,0,0,0
5998,ENSG00000138835,RGS3,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5999,ENSG00000117152,RGS4,2,1,1,1,0,1,0,0,0,0.187012921486655,0,0,0.0586492108843537,0,0.0573250096371882,0,0,0.2,0,0,0
6000,ENSG00000182901,RGS7,1,1,1,1,0,1,1,0,0,0,0,0,0.0356,0,0,0,0,0,0,0,0
6001,ENSG00000148908,RGS10,2,1,1,0,0,1,1,0,0,0.0534,0,0,0.0372,0,0,0,0,0,0,0,0
6002,ENSG00000159788,RGS12,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,ENSG00000127074,RGS13,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,ENSG00000143333,RGS16,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,ENSG00000112077,RHAG,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,ENSG00000188672,RHCE,2,0,1,1,0,1,1,0,0,0.0148,0,0,0.0144,0,0.0148,0,0,0,0,0,0
6007,ENSG00000187010,RHD,2,1,1,0,0,1,1,0,0,0.126019222222222,0,0,0.0257,0,0.0148,0,0,0,0,0.0144,0
6009,ENSG00000106615,RHEB,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0
6010,ENSG00000163914,RHO,1,1,1,0,1,1,1,0,0,0,0,0,0.0214,0,0,0,0,0,0,0,0
6013,ENSG00000107018,RLN1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6014,ENSG00000152214,RIT2,2,1,2,1,0,1,1,0,0,0.0214444444444444,0,0,0,0,0.0152,0,0,0,0,0.0252,0
6015,ENSG00000204227,RING1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6016,ENSG00000143622,RIT1,1,2,1,0,0,1,0,0,0,0.0219,0,0,0.0408,0,0,0,0,0,0,0.004,0
6017,ENSG00000140522,RLBP1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6018,ENSG00000117000,RLF,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019,ENSG00000107014,RLN2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6035,ENSG00000129538,RNASE1,1,1,1,0,0,1,1,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0
6036,ENSG00000169385,RNASE2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6037,ENSG00000169397,RNASE3,1,1,1,0,1,1,0,0,0,0,0,0,0.0325333333333333,0,0,0,0,0,0,0,0
6038,ENSG00000258818,RNASE4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6039,ENSG00000169413,RNASE6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6041,ENSG00000135828,RNASEL,1,1,1,0,1,1,0,0,0,0,0,0,0.0144,0,0,0,0,0,0,0,0
6045,ENSG00000121481,RNF2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6046,ENSG00000204256,BRD2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,ENSG00000063978,RNF4,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6048,ENSG00000204308,RNF5,1,1,1,1,1,1,0,0,0,0.0269,0,0,0.0245761133786848,0,0.016,0,0,0,0,0,0
6049,ENSG00000127870,RNF6,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6050,ENSG00000023191,RNH1,1,1,1,1,0,1,1,0,0,0,0,0,0.0432427437641723,0,0,0,0.02,0,0,0.012,0
